,date (X),$/Mbyte (Y),Adj. $/Mbyte (Y)
149,1994.25,37.3,57.0704743083004
150,1994.33,37.3,57.0704743083004
151,1994.42,37.3,57.0704743083004
152,1994.5,38.5,58.90652173913044
153,1994.58,37.0,56.611462450592896
154,1994.67,34.0,52.02134387351779
155,1994.75,33.5,51.25632411067194
156,1994.83,32.3,49.4202766798419
157,1994.92,32.3,49.4202766798419
158,1995.0,32.3,49.4202766798419
159,1995.08,32.0,48.961264822134396
160,1995.17,32.0,48.961264822134396
161,1995.25,31.2,47.737233201581034
162,1995.33,31.2,47.737233201581034
163,1995.42,31.1,47.58422924901187
164,1995.5,31.2,47.737233201581034
165,1995.58,30.6,46.81920948616602
166,1995.67,33.1,50.64430830039527
167,1995.75,33.1,50.64430830039527
168,1995.83,30.9,47.27822134387352
169,1995.92,30.9,47.27822134387352
170,1996.0,29.9,45.74818181818182
171,1996.08,28.8,44.065138339920956
172,1996.17,26.1,39.93403162055337
173,1996.25,24.7,37.79197628458498
174,1996.33,17.19,26.301379446640322
175,1996.42,14.88,22.766988142292494
176,1996.5,11.25,17.212944664031625
177,1996.58,9.06,13.8621581027668
178,1996.67,8.44,12.913533596837945
179,1996.75,8.0,12.240316205533599
180,1996.83,5.25,8.032707509881424
181,1996.92,5.25,8.032707509881424
182,1997.0,4.63,7.0840830039525695
183,1997.08,3.63,5.55404347826087
184,1997.17,3.0,4.590118577075099
185,1997.25,3.0,4.590118577075099
186,1997.33,3.0,4.590118577075099
187,1997.42,3.69,5.645845849802372
188,1997.5,4.0,6.1201581027667995
189,1997.58,4.13,6.31906324110672
190,1997.67,3.63,5.55404347826087
191,1997.75,3.41,5.217434782608697
192,1997.83,3.25,4.972628458498025
193,1997.92,2.16,3.304885375494072
194,1998.0,2.16,3.304885375494072
195,1998.08,0.91,1.392335968379447
196,1998.17,0.97,1.484138339920949
197,1998.25,1.22,1.8666482213438738
198,1998.33,1.19,1.8207470355731228
199,1998.42,0.97,1.484138339920949
200,1998.58,1.03,1.5759407114624508
201,1998.67,0.97,1.484138339920949
202,1998.75,1.16,1.7748458498023716
203,1998.83,0.84,1.2852332015810277
204,1998.92,0.84,1.2852332015810277
205,1999.08,1.44,2.2032569169960476
206,1999.13,0.84,1.2852332015810277
207,1999.17,1.25,1.9125494071146247
208,1999.25,1.25,1.9125494071146247
209,1999.33,0.86,1.3158339920948618
210,1999.5,0.78,1.1934308300395258
211,1999.67,0.87,1.331134387351779
212,1999.75,1.04,1.5912411067193677
213,1999.83,1.34,2.050252964426878
214,1999.92,2.35,3.5955928853754946
215,2000.0,1.56,2.3868616600790515
216,2000.08,1.48,2.264458498023716
217,2000.17,1.08,1.652442687747036
218,2000.25,0.84,1.2852332015810277
219,2000.33,0.7,1.0710276679841897
220,2000.42,0.9,1.3770355731225299
221,2000.5,0.77,1.178130434782609
222,2000.58,0.84,1.2852332015810277
223,2000.67,1.07,1.637142292490119
224,2000.75,1.12,1.713644268774704
225,2000.83,1.12,1.713644268774704
226,2000.92,0.9,1.3770355731225299
227,2001.0,0.75,1.1475296442687748
228,2001.08,0.46,0.703818181818182
229,2001.17,0.46,0.703818181818182
230,2001.25,0.38,0.5814150197628459
231,2001.33,0.39,0.5967154150197629
232,2001.42,0.3,0.45901185770750996
233,2001.5,0.27,0.413110671936759
234,2001.5,0.35,0.5355138339920948
235,2001.58,0.19,0.29070750988142297
236,2001.67,0.19,0.29070750988142297
237,2001.75,0.17,0.260106719367589
238,2001.77,0.15,0.22950592885375498
239,2002.08,0.13,0.19890513833992096
240,2002.08,0.21,0.32130830039525693
241,2002.25,0.19,0.29070750988142297
242,2002.33,0.193,0.29529762845849805
243,2002.42,0.33,0.504913043478261
244,2002.58,0.193,0.29529762845849805
245,2002.75,0.193,0.29529762845849805
246,2003.17,0.176,0.2692869565217391
247,2003.25,0.076,0.11628300395256919
248,2003.58,0.129,0.19737509881422927
249,2003.67,0.143,0.21879565217391306
250,2003.75,0.148,0.22644584980237156
251,2003.83,0.16,0.24480632411067196
252,2003.99,0.166,0.25398656126482216
